,country
1778,Ireland
1779,Argentina
1780,Serbia
1781,Slovenia
1782,Trinidad and Tobago
1783,Türkiye
1784,Dominican Republic
1785,Chinese Taipei
1786,Latvia
1787,Algeria
1788,Bahrain
1789,Grenada
1790,The Bahamas
1791,Uganda
1792,Venezuela
1793,Egypt
1794,India
1795,Mongolia
1796,Thailand
1797,Bulgaria
1798,Finland
1799,Indonesia
1800,Slovakia
1801,Belgium
1802,Armenia
1803,Estonia
1804,Malaysia
1805,Puerto Rico
1806,Qatar
1807,Botswana
1808,Cyprus
1809,Gabon
1810,Guatemala
1811,Montenegro
1812,Portugal
1813,Uzbekistan
1814,Greece
1815,Singapore
1816,Afghanistan
1817,Cameroon
1818,"Hong Kong, China"
1819,Kingdom of Saudi Arabia
1820,Kuwait
1821,Morocco
1822,Tajikistan
1823,Vietnam
1824,United States
1825,United Kingdom
1826,China
1827,Russian Federation
1828,Germany
1829,Japan
1830,France
1831,Republic of Korea
1832,Italy
1833,Australia
1834,Netherlands
1835,Hungary
1836,Brazil
1837,Spain
1838,Kenya
1839,Jamaica
1840,Croatia
1841,Cuba
1842,New Zealand
1843,Canada
1844,Uzbekistan
1845,Colombia
1846,Switzerland
1847,Islamic Republic of Iran
1848,Greece
1849,Argentina
1850,Denmark
1851,Sweden
1852,South Africa
1853,Kazakhstan
1854,Ukraine
1855,Serbia
1856,Poland
1857,Democratic People's Republic of Korea
1858,Belgium
1859,Thailand
1860,Slovakia
1861,Georgia
1862,Azerbaijan
1863,Belarus
1864,Türkiye
1865,Armenia
1866,Czech Republic
1867,Ethiopia
1868,Slovenia
1869,Indonesia
1870,Romania
1871,Bahrain
1872,Vietnam
1873,Chinese Taipei
1874,Côte d'Ivoire
1875,Individual Olympic Athletes
1876,The Bahamas
1877,Fiji
1878,Jordan
1879,Kosovo
1880,Puerto Rico
1881,Singapore
1882,Tajikistan
1883,Malaysia
1884,Mexico
1885,Venezuela
1886,Algeria
1887,Ireland
1888,Lithuania
1889,Bulgaria
1890,India
1891,Mongolia
1892,Burundi
1893,Grenada
1894,Niger
1895,Philippines
1896,Qatar
1897,Norway
1898,Egypt
1899,Tunisia
1900,Israel
1901,Austria
1902,Dominican Republic
1903,Estonia
1904,Finland
1905,Morocco
1906,Nigeria
1907,Portugal
1908,Trinidad and Tobago
1909,United Arab Emirates
1910,United States
1911,China
1912,Japan
1913,United Kingdom
1914,ROC
1915,Australia
1916,Netherlands
1917,France
1918,Germany
1919,Italy
1920,Canada
1921,Brazil
1922,New Zealand
1923,Cuba
1924,Hungary
1925,Republic of Korea
1926,Poland
1927,Czech Republic
1928,Kenya
1929,Norway
1930,Jamaica
1931,Spain
1932,Sweden
1933,Switzerland
1934,Denmark
1935,Croatia
1936,Islamic Republic of Iran
1937,Serbia
1938,Belgium
1939,Bulgaria
1940,Slovenia
1941,Uzbekistan
1942,Georgia
1943,Chinese Taipei
1944,Türkiye
1945,Greece
1946,Uganda
1947,Ecuador
1948,Ireland
1949,Israel
1950,Qatar
1951,Kosovo
1952,The Bahamas
1953,Ukraine
1954,Belarus
1955,Romania
1956,Venezuela
1957,India
1958,"Hong Kong, China"
1959,Philippines
1960,Slovakia
1961,South Africa
1962,Austria
1963,Egypt
1964,Indonesia
1965,Ethiopia
1966,Portugal
1967,Tunisia
1968,Estonia
1969,Fiji
1970,Latvia
1971,Thailand
1972,Bermuda
1973,Morocco
1974,Puerto Rico
1975,Colombia
1976,Azerbaijan
1977,Dominican Republic
1978,Armenia
1979,Kyrgyzstan
1980,Mongolia
1981,Argentina
1982,San Marino
1983,Jordan
1984,Malaysia
1985,Nigeria
1986,Bahrain
1987,Kingdom of Saudi Arabia
1988,Lithuania
1989,Namibia
1990,North Macedonia
1991,Turkmenistan
1992,Kazakhstan
1993,Mexico
1994,Finland
1995,Botswana
1996,Burkina Faso
1997,Côte d'Ivoire
1998,Ghana
1999,Grenada
2000,Kuwait
2001,Republic of Moldova
2002,Syrian Arab Republic
2003,Norway
2004,Norway
2005,Finland
2006,Finland
2007,Austria
2008,Austria
2009,Switzerland
2010,Switzerland
2011,United States
2012,United States
2013,United Kingdom
2014,United Kingdom
2015,Sweden
2016,Sweden
2017,Canada
2018,Canada
2019,Mixed team
2020,Mixed team
2021,France
2022,France
2023,Belgium
2024,Belgium
2025,Norway
2026,Norway
2027,Sweden
2028,Sweden
2029,Finland
2030,Finland
2031,United States
2032,United States
2033,Canada
2034,Canada
2035,France
2036,France
2037,Austria
2038,Austria
2039,Belgium
2040,Belgium
2041,Czechoslovakia
2042,Czechoslovakia
2043,Germany
2044,Germany
2045,Switzerland
2046,Switzerland
2047,United States
2048,United States
2049,Norway
2050,Norway
2051,Sweden
2052,Sweden
2053,Canada
2054,Canada
2055,Finland
2056,Finland
2057,Austria
2058,Austria
2059,France
2060,France
2061,Switzerland
2062,Switzerland
2063,Germany
2064,Germany
2065,Hungary
2066,Hungary
2067,Norway
2068,Norway
2069,Germany
2070,Germany
2071,Sweden
2072,Sweden
2073,Finland
2074,Finland
2075,Switzerland
2076,Switzerland
2077,Austria
2078,Austria
2079,United Kingdom
2080,United Kingdom
2081,United States
2082,United States
2083,Canada
2084,Canada
2085,France
2086,France
2087,Hungary
2088,Hungary
2089,Norway
2090,Norway
2091,Sweden
2092,Sweden
2093,Switzerland
2094,Switzerland
2095,United States
2096,United States
2097,France
2098,France
2099,Canada
2100,Canada
2101,Austria
2102,Austria
2103,Finland
2104,Finland
2105,Belgium
2106,Belgium
2107,Czechoslovakia
2108,Czechoslovakia
2109,Hungary
2110,Hungary
2111,United Kingdom
2112,United Kingdom
2113,Norway
2114,Norway
2115,United States
2116,United States
2117,Finland
2118,Finland
2119,Germany
2120,Germany
2121,Austria
2122,Austria
2123,Canada
2124,Canada
2125,Italy
2126,Italy
2127,United Kingdom
2128,United Kingdom
2129,Netherlands
2130,Netherlands
2131,Sweden
2132,Sweden
2133,Switzerland
2134,Switzerland
2135,France
2136,France
2137,Hungary
2138,Hungary
2139,Soviet Union
2140,Soviet Union
2141,Austria
2142,Austria
2143,Finland
2144,Finland
2145,Switzerland
2146,Switzerland
2147,Sweden
2148,Sweden
2149,United States
2150,United States
2151,Norway
2152,Norway
2153,Italy
2154,Italy
2155,Germany
2156,Germany
2157,Canada
2158,Canada
2159,Japan
2160,Japan
2161,Hungary
2162,Hungary
2163,Poland
2164,Poland
2165,Soviet Union
2166,Soviet Union
2167,Germany
2168,Germany
2169,United States
2170,United States
2171,Norway
2172,Norway
2173,Sweden
2174,Sweden
2175,Finland
2176,Finland
2177,Canada
2178,Canada
2179,Switzerland
2180,Switzerland
2181,Austria
2182,Austria
2183,France
2184,France
2185,Netherlands
2186,Netherlands
2187,Poland
2188,Poland
2189,Czechoslovakia
2190,Czechoslovakia
2191,Italy
2192,Italy
2193,Soviet Union
2194,Soviet Union
2195,Austria
2196,Austria
2197,Norway
2198,Norway
2199,Finland
2200,Finland
2201,France
2202,France
2203,Germany
2204,Germany
2205,Sweden
2206,Sweden
2207,United States
2208,United States
2209,Canada
2210,Canada
2211,Netherlands
2212,Netherlands
2213,United Kingdom
2214,United Kingdom
2215,Italy
2216,Italy
2217,Democratic People's Republic of Korea
2218,Democratic People's Republic of Korea
2219,Czechoslovakia
2220,Czechoslovakia
2221,Norway
2222,Norway
2223,Soviet Union
2224,Soviet Union
2225,France
2226,France
2227,Italy
2228,Italy
2229,Austria
2230,Austria
2231,Netherlands
2232,Netherlands
2233,Sweden
2234,Sweden
2235,Germany
2236,Germany
2237,United States
2238,United States
2239,East Germany
2240,East Germany
2241,Finland
2242,Finland
2243,Czechoslovakia
2244,Czechoslovakia
2245,Canada
2246,Canada
2247,Switzerland
2248,Switzerland
2249,Romania
2250,Romania
2251,Soviet Union
2252,Soviet Union
2253,East Germany
2254,East Germany
2255,Switzerland
2256,Switzerland
2257,Netherlands
2258,Netherlands
2259,United States
2260,United States
2261,Germany
2262,Germany
2263,Norway
2264,Norway
2265,Italy
2266,Italy
2267,Austria
2268,Austria
2269,Sweden
2270,Sweden
2271,Japan
2272,Japan
2273,Czechoslovakia
2274,Czechoslovakia
2275,Poland
2276,Poland
2277,Spain
2278,Spain
2279,Finland
2280,Finland
2281,France
2282,France
2283,Canada
2284,Canada
2285,Soviet Union
2286,Soviet Union
2287,East Germany
2288,East Germany
2289,United States
2290,United States
2291,Norway
2292,Norway
2293,Germany
2294,Germany
2295,Finland
2296,Finland
2297,Austria
2298,Austria
2299,Switzerland
2300,Switzerland
2301,Netherlands
2302,Netherlands
2303,Italy
2304,Italy
2305,Canada
2306,Canada
2307,United Kingdom
2308,United Kingdom
2309,Czechoslovakia
2310,Czechoslovakia
2311,Liechtenstein
2312,Liechtenstein
2313,Sweden
2314,Sweden
2315,France
2316,France
2317,Soviet Union
2318,Soviet Union
2319,East Germany
2320,East Germany
2321,United States
2322,United States
2323,Austria
2324,Austria
2325,Sweden
2326,Sweden
2327,Liechtenstein
2328,Liechtenstein
2329,Finland
2330,Finland
2331,Norway
2332,Norway
2333,Netherlands
2334,Netherlands
2335,Switzerland
2336,Switzerland
2337,United Kingdom
2338,United Kingdom
2339,Germany
2340,Germany
2341,Italy
2342,Italy
2343,Canada
2344,Canada
2345,Hungary
2346,Hungary
2347,Japan
2348,Japan
2349,Bulgaria
2350,Bulgaria
2351,Czechoslovakia
2352,Czechoslovakia
2353,France
2354,France
2355,East Germany
2356,East Germany
2357,Soviet Union
2358,Soviet Union
2359,United States
2360,United States
2361,Finland
2362,Finland
2363,Sweden
2364,Sweden
2365,Norway
2366,Norway
2367,Switzerland
2368,Switzerland
2369,Canada
2370,Canada
2371,Germany
2372,Germany
2373,Italy
2374,Italy
2375,United Kingdom
2376,United Kingdom
2377,Czechoslovakia
2378,Czechoslovakia
2379,France
2380,France
2381,Japan
2382,Japan
2383,Yugoslavia
2384,Yugoslavia
2385,Liechtenstein
2386,Liechtenstein
2387,Austria
2388,Austria
2389,Soviet Union
2390,Soviet Union
2391,East Germany
2392,East Germany
2393,Switzerland
2394,Switzerland
2395,Finland
2396,Finland
2397,Sweden
2398,Sweden
2399,Austria
2400,Austria
2401,Netherlands
2402,Netherlands
2403,Germany
2404,Germany
2405,United States
2406,United States
2407,Italy
2408,Italy
2409,France
2410,France
2411,Norway
2412,Norway
2413,Canada
2414,Canada
2415,Yugoslavia
2416,Yugoslavia
2417,Czechoslovakia
2418,Czechoslovakia
2419,Japan
2420,Japan
2421,Liechtenstein
2422,Liechtenstein
2423,Germany
2424,Germany
2425,Unified Team
2426,Unified Team
2427,Norway
2428,Norway
2429,Austria
2430,Austria
2431,United States
2432,United States
2433,Italy
2434,Italy
2435,France
2436,France
2437,Finland
2438,Finland
2439,Canada
2440,Canada
2441,Republic of Korea
2442,Republic of Korea
2443,Japan
2444,Japan
2445,Netherlands
2446,Netherlands
2447,Sweden
2448,Sweden
2449,Switzerland
2450,Switzerland
2451,China
2452,China
2453,Luxembourg
2454,Luxembourg
2455,New Zealand
2456,New Zealand
2457,Czechoslovakia
2458,Czechoslovakia
2459,Democratic People's Republic of Korea
2460,Democratic People's Republic of Korea
2461,Spain
2462,Spain
2463,Russian Federation
2464,Norway
2465,Germany
2466,Italy
2467,United States
2468,Republic of Korea
2469,Canada
2470,Switzerland
2471,Austria
2472,Sweden
2473,Japan
2474,Kazakhstan
2475,Ukraine
2476,Uzbekistan
2477,Belarus
2478,Finland
2479,France
2480,Netherlands
2481,China
2482,Slovenia
2483,United Kingdom
2484,Australia
2485,Germany
2486,Norway
2487,Russian Federation
2488,Canada
2489,United States
2490,Netherlands
2491,Japan
2492,Austria
2493,Republic of Korea
2494,Italy
2495,Finland
2496,Switzerland
2497,France
2498,Czech Republic
2499,Bulgaria
2500,China
2501,Sweden
2502,Denmark
2503,Ukraine
2504,Belarus
2505,Kazakhstan
2506,Australia
2507,Belgium
2508,United Kingdom
2509,Norway
2510,Germany
2511,United States
2512,Canada
2513,Russian Federation
2514,France
2515,Italy
2516,Finland
2517,Netherlands
2518,Austria
2519,Switzerland
2520,Croatia
2521,China
2522,Republic of Korea
2523,Australia
2524,Czech Republic
2525,Estonia
2526,United Kingdom
2527,Sweden
2528,Bulgaria
2529,Japan
2530,Poland
2531,Belarus
2532,Slovenia
2533,Germany
2534,United States
2535,Austria
2536,Russian Federation
2537,Sweden
2538,Canada
2539,Republic of Korea
2540,Italy
2541,Switzerland
2542,France
2543,Netherlands
2544,Estonia
2545,Norway
2546,China
2547,Czech Republic
2548,Croatia
2549,Australia
2550,Japan
2551,Finland
2552,Poland
2553,Belarus
2554,Bulgaria
2555,Slovakia
2556,Ukraine
2557,Latvia
2558,Canada
2559,Germany
2560,United States
2561,Norway
2562,Republic of Korea
2563,Switzerland
2564,China
2565,Sweden
2566,Austria
2567,Netherlands
2568,Russian Federation
2569,France
2570,Australia
2571,Czech Republic
2572,Poland
2573,Italy
2574,Belarus
2575,Slovakia
2576,United Kingdom
2577,Japan
2578,Croatia
2579,Slovenia
2580,Latvia
2581,Finland
2582,Estonia
2583,Kazakhstan
2584,Norway
2585,Russian Federation
2586,Canada
2587,United States
2588,Netherlands
2589,Germany
2590,Switzerland
2591,Belarus
2592,Austria
2593,France
2594,Poland
2595,China
2596,Republic of Korea
2597,Sweden
2598,Czech Republic
2599,Slovenia
2600,Japan
2601,Finland
2602,United Kingdom
2603,Latvia
2604,Ukraine
2605,Slovakia
2606,Italy
2607,Australia
2608,Croatia
2609,Kazakhstan
2610,Norway
2611,Germany
2612,Canada
2613,United States
2614,Netherlands
2615,Sweden
2616,Republic of Korea
2617,Switzerland
2618,France
2619,Austria
2620,Japan
2621,Italy
2622,ROC
2623,Czech Republic
2624,Belarus
2625,China
2626,Slovakia
2627,Finland
2628,United Kingdom
2629,Poland
2630,Hungary
2631,Ukraine
2632,Australia
2633,Slovenia
2634,Belgium
2635,New Zealand
2636,Spain
2637,Kazakhstan
2638,Latvia
2639,Liechtenstein
2640,Norway
2641,Germany
2642,China
2643,United States
2644,Sweden
2645,Netherlands
2646,Austria
2647,Switzerland
2648,ROC
2649,France
2650,Canada
2651,Japan
2652,Italy
2653,Republic of Korea
2654,Slovenia
2655,Finland
2656,New Zealand
2657,Australia
2658,United Kingdom
2659,Hungary
2660,Belgium
2661,Czech Republic
2662,Slovakia
2663,Belarus
2664,Spain
2665,Ukraine
2666,Estonia
2667,Latvia
2668,Poland
